Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000116375
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000126709
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000112416
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000113417
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000116167
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000116334
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000114542
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000117208
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000129334
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000120334
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000114708
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000131042
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000114792
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000113375
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000118417
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000116334
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000126541
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000114875
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000118791
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000117666
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000115666
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000116375
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000113209
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000113125
Experiment type: add_task, Data struct: Vec, Task count: 1000, Time Elapsed: 0.000113833
